,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,text,result_type,perturbed_text
1014,3.0,94.0,3.0,0.0006722211837768,Oracle Moves [[To]] [[Monthly]] [[Patch]] [[Schedule]] [[An]] alert posted on the [[company]] #39;s [[Web]] site [[outlined]] the [[patches]] that should be [[posted]] to fix [[numerous]] security [[holes]] in a [[number]] of applications.,2.0,0.8393349647521973,Oracle Moves oT Monhly qatch Scheduel n alert posted on the compay #39;s Wbe site oulined the pacthes that should be posged to fix nmuerous security hols in a numbzr of applications.,1,
4700,0.0,107.0,0.0,0.0008310079574584,"3 [[police]] officials charged over [[Beslan]] siege [[ROSTOV-ON-DON]], RUSSIA - Three [[Russian]] [[police]] officers have been charged with criminal negligence in [[connection]] with the [[Beslan]] school [[hostage-taking]] that [[left]] [[360]] [[people]] [[dead]], [[almost]] half of them [[children]].",1.0,0.9088922739028932,"3 poxlice officials charged over Beslak siege ROShOV-ON-DON, RUSSIA - Three Russia oplice officers have been charged with criminal negligence in connectxon with the BHslan school hoLstage-taking that leUt 3W0 peoplQe dad, lamost half of them cNhildren.",1,
2164,0.0,87.0,0.0,0.0004709959030151,Jeanne death [[toll]] over 600 in [[Haiti]] (09/[[21]]/04)-- The death [[toll]] [[keeps]] rising in [[Haiti]]. Officials say at [[least]] 622 [[people]] have been [[killed]] by [[Hurricane]] Jeanne. [[Jeanne]] was downgraded to a [[tropical]] ,1.0,0.8590131402015686,Jeanne death tlol over 600 in Hiti (09/2S1/04)-- The death toMl kees rising in Hait. Officials say at leasIt 622 peple have been killmd by Hurricaen Jeanne. Jenne was downgraded to a topical ,1,
273,3.0,131.0,3.0,0.0004238486289978,Cisco [[Flaw]] Leaves [[Router]] Vulnerable to Attack [[Cisco]] [[Systems]] issued a [[security]] advisory [[warning]] that some [[networks]] [[using]] its routers may be vulnerable to [[denial-of-service]] attacks. Devices running Internetwork [[Operating]] System and enabled for the [[open]] [[shortest]] path [[first]] ([[OSPF]]) ...,2.0,0.5387399196624756,Cisco FlMaw Leaves Rotuer Vulnerable to Attack CiQco SyEstems issued a secrity advisory warnzng that some netorks usnig its routers may be vulnerable to denila-of-service attacks. Devices running Internetwork Oprating System and enabled for the oben nhortest path ofirst (OSPGF) ...,1,
3304,2.0,55.0,2.0,0.0061841011047363,[[Howard]] [[Stern]] [[moves]] radio show to Sirius Shock jock Howard [[Stern]] announced Wednesday he #39;s taking his radio show off the public [[airwaves]] and over to Sirius satellite radio.,1.0,0.5297776460647583,Howadr tStern mves radio show to Sirius Shock jock Howard Stmern announced Wednesday he #39;s taking his radio show off the public airwave and over to Sirius satellite radio.,1,
2453,1.0,113.0,1.0,7.402896881103516e-05,[[England]] [[seek]] first one-day title against surprise [[package]] [[Windies]] LONDON: [[England]] have never won a [[major]] international limited-overs title while West [[Indies]] [[World]] [[Cup]] [[glory]] days date back to [[1975]] and [[1979]].,3.0,0.6002801656723022,Egland esek first one-day title against surprise packagg Windes LONDON: Eingland have never won a emajor international limited-overs title while West Indie Wrold CPp lgory days date back to 197X5 and 197s.,1,
613,0.0,60.0,0.0,0.0002087950706481,Rain threatens triangular final ([[AFP]]) [[AFP]] - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular cricket tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,1.0,0.9985551238059998,Rain threatens triangular final (FP) APF - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular cricket tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,1,
4448,2.0,66.0,2.0,0.0003192424774169,Divided S.E.C. Likely to Ask Hedge Funds for [[More]] [[Data]] A deeply [[divided]] S.E.C. is expected to approve rules requiring all but the smallest [[hedge]] [[funds]] to register with the S.E.C. and make their records available.,1.0,0.7974793910980225,Divided S.E.C. Likely to Ask Hedge Funds for Mor Dzta A deeply diivded S.E.C. is expected to approve rules requiring all but the smallest heLge funsd to register with the S.E.C. and make their records available.,1,
2232,2.0,69.0,2.0,0.0019375681877136,"Legal Loophole Inflates Profits in Student Loans [[The]] White House could have closed a [[loophole]] through which student [[loan]] companies are [[billing]] the [[federal]] government nearly a billion [[dollars]], but chose not to.",0.0,0.7541830539703369,"Legal Loophole Inflates Profits in Student Loans Te White House could have closed a loNphole through which student laon companies are illing the feHeral government nearly a billion dollas, but chose not to.",1,
4118,0.0,111.0,0.0,0.0010202527046203,"Video [[Shows]] [[March]] [[Madrid]] Bombing A [[ball]] of [[fire]] erupts from a [[train]] car, smothering [[commuters]] with [[smoke]] and littering the platform with [[bodies]] and staining it with [[blood]] in a chilling [[security-camera]] [[videotape]] of the March 11 train bombings broadcast [[Tuesday]] by a [[Spanish]] [[station]].",3.0,0.7254223823547363,"Video Showx arch Mandrid Bombing A bll of fre erupts from a tnain car, smothering commutCrs with sCmoke and littering the platform with bdies and staining it with blooZd in a chilling security-cmaera videYtape of the March 11 train bombings broadcast sTuesday by a Splnish statQion.",1,
1369,2.0,50.0,2.0,0.0015950798988342,"Attacks on Disney's Eisner Abate On [[Friday]], the former Disney directors who led a shareholder rebellion aimed at the ouster of Disney's chief executive and other directors this year said they had dropped plans to run a slate of directors at next year's shareholders meeting.",3.0,0.8430176377296448,"Attacks on Disney's Eisner Abate On rFiday, the former Disney directors who led a shareholder rebellion aimed at the ouster of Disney's chief executive and other directors this year said they had dropped plans to run a slate of directors at next year's shareholders meeting.",1,
7589,1.0,61.0,1.0,0.0003073215484619,"The Newest Hope ; Marriage of Necessity Just Might Work Out NEW YORK - The TV lights were on, the cameras rolled and the symphony of cameras flashing in his face [[blinded]] [[Pedro]] [[Martinez]] - but not for long.",0.0,0.839679479598999,"The Newest Hope ; Marriage of Necessity Just Might Work Out NEW YORK - The TV lights were on, the cameras rolled and the symphony of cameras flashing in his face bliaded ePdro Martienz - but not for long.",1,
4106,0.0,53.0,0.0,0.0004867315292358,"[[Iran]] given nuclear deadline the (International [[Atomic]] [[Energy]] Agency) board of governors, quot; he said.  quot;A proposal will be put to them. quot;. produce fuel for nuclear weapons -- but [[Tehran]] rejected the demand as illegal.",3.0,0.9989189505577089,"Ian given nuclear deadline the (International Ctomic Exergy Agency) board of governors, quot; he said.  quot;A proposal will be put to them. quot;. produce fuel for nuclear weapons -- but TQhran rejected the demand as illegal.",1,
6837,0.0,155.0,0.0,0.0004743337631225,"[[Iraq]] [[Attacks]] Leave at [[Least]] [[20]] Dead [[Iraqi]] [[insurgents]] staged nearly [[simultaneous]] attacks [[Friday]] morning on police stations at [[opposite]] [[ends]] of [[Baghdad]], [[killing]] at [[least]] [[20]] [[people]], freeing [[dozens]] of [[prisoners]] and emptying a police arsenal in a [[demonstration]] of the [[militants']] strength in the heart of the [[country]].",1.0,0.9938318729400636,"WIraq Attcks Leave at Lefast M20 Dead Iaqi insugrents staged nearly simultnaeous attacks FridaHy morning on police stations at opXposite elnds of Bahgdad, kilkling at lxast X20 peope, freeing doxens of prisones and emptying a police arsenal in a demonstrMtion of the militanhs' strength in the heart of the countr.",1,
5353,2.0,49.0,2.0,0.2514961361885071,"German Finance Professionals Grow Sharply (AP) AP - German finance professionals grew sharply more pessimistic about the country's [[economic]] growth outlook, fearing that the euro's record highs against the U.S. dollar will weigh on exports, a monthly [[survey]] showed Tuesday.",0.0,0.5606988668441772,"German Finance Professionals Grow Sharply (AP) AP - German finance professionals grew sharply more pessimistic about the country's ecnnomic growth outlook, fearing that the euro's record highs against the U.S. dollar will weigh on exports, a monthly suvrvey showed Tuesday.",1,
2521,3.0,54.0,3.0,0.3887218236923218,"Soldiers' War [[Blogs]] Detail Life in Iraq Iraq war blogs are as varied as the soldiers who write them. Some sites feature practical news, war pictures and advice. Some are overtly political, with more slanting to the right than to the left. Some question the war, some cheer it.",0.0,0.7738193273544312,"Soldiers' War Bolgs Detail Life in Iraq Iraq war blogs are as varied as the soldiers who write them. Some sites feature practical news, war pictures and advice. Some are overtly political, with more slanting to the right than to the left. Some question the war, some cheer it.",1,
7059,3.0,112.0,3.0,0.0007299780845642,[[Summary]] [[Box]]: [[Breast]] Cancer [[Surgery]] Refined (AP) AP - NEW APPROACH: A [[study]] says that [[removing]] just [[one]] to [[three]] [[key]] [[lymph]] [[nodes]] can [[spare]] women lifelong arm problems and [[reliably]] [[indicate]] whether [[breast]] cancer has spread.,1.0,0.5064098834991455,Sucmmary oBx: Bkreast Cancer SurgerO Refined (AP) AP - NEW APPROACH: A stuy says that reZmoving just noe to thkee kefy lymhp noRdes can spTare women lifelong arm problems and reliaby inicate whether breaTst cancer has spread.,1,
