,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,text,result_type,perturbed_text
6529,1.0,184.0,1.0,8.153915405273438e-05,"DEFOE DRIVES [[SPURS]] HOME Jermain Defoe underlined his [[claims]] for an [[improved]] contract as he [[inspired]] [[Tottenham]] to a 2-0 win against 10-man [[Middlesbrough]]. New [[coach]] [[Martin]] Jol, who [[secured]] his [[first]] win in charge, may have been helped ",2.0,0.7420602440834045,"DEFOE DRIVES SPRS HOME Jermain Defoe underlined his ϲlaims for an impr oved contract as he inspireԁ Tottenhm to a 2-0 win against 10-man Caen. New buses Mɑrtin Jol, who ensured his fiirst win in charge, may have been helped ",1,
4672,0.0,331.0,0.0,0.000442087650299,"[[Vietnam]] [[Opens]] Bunker [[Used]] by Ho Chi Minh (AP) AP - [[Behind]] [[thick]] [[concrete]] [[walls]] and [[iron]] [[doors]], [[Ho]] Chi [[Minh]] and other top Vietnamese [[leaders]] [[hid]] in [[secret]] underground tunnels during [[U]].[[S]]. [[B-52]] bombing [[raids]] to [[plot]] [[key]] [[military]] [[strategies]] that led to [[America's]] [[defeat]] in the Vietnam War.",3.0,0.5868849754333496,"Vіetnam Open Bunker Usage by Ho Chi Minh (AP) AP - Behiոd tհick specific wlals and i ron d oors, Rio Chi Mnih and other top Vietnamese ringleaders hd in secrets underground tunnels during or.ies. B˗52 bombing raidѕ to conspiracies k ey militɑry stratеgies that led to Amerіca's de feat in the Vietnam War.",1,
1014,3.0,116.0,3.0,0.0006722211837768,Oracle Moves To Monthly [[Patch]] Schedule An alert posted on the company #39;s Web site [[outlined]] the [[patches]] that should be [[posted]] to fix [[numerous]] security holes in a [[number]] of applications.,2.0,0.5350008010864258,Oracle Moves To Monthly Stamps Schedule An alert posted on the company #39;s Web site describing the рatches that should be positioned to fix numеrous security holes in a numbеr of applications.,1,
4700,0.0,148.0,0.0,0.0008310079574584,"3 [[police]] officials [[charged]] over [[Beslan]] siege [[ROSTOV-ON-DON]], [[RUSSIA]] - Three Russian police officers have been [[charged]] with criminal negligence in connection with the [[Beslan]] school [[hostage-taking]] that [[left]] [[360]] people [[dead]], [[almost]] [[half]] of them children.",3.0,0.6857726573944092,"3 cops officials billed over Bselan siege ROSTOV˗ON-DON, RUSSIAN - Three Russian police officers have been chɑrged with criminal negligence in connection with the Beslaո school hostage˗taking that le ft 3б0 people d ead, ɑlmost hɑlf of them children.",1,
273,3.0,187.0,3.0,0.0004238486289978,Cisco [[Flaw]] Leaves Router [[Vulnerable]] to Attack Cisco Systems issued a security advisory warning that some networks [[using]] its routers [[may]] be [[vulnerable]] to denial-of-service attacks. [[Devices]] [[running]] Internetwork Operating System and enabled for the open [[shortest]] path first (OSPF) ...,2.0,0.521826982498169,Cisco Inadequacy Leaves Router Weak to Attack Cisco Systems issued a security advisory warning that some networks utilizing its routers maybe be frail to denial-of-service attacks. Equipment runnіng Internetwork Operating System and enabled for the open shorte st path first (OSPF) ...,1,
3304,2.0,58.0,2.0,0.0061841011047363,[[Howard]] [[Stern]] moves radio show to Sirius Shock jock Howard [[Stern]] announced Wednesday he #39;s taking his radio show off the public airwaves and over to Sirius satellite radio.,1.0,0.9510531425476074,Dwight Pupa moves radio show to Sirius Shock jock Howard Ste rn announced Wednesday he #39;s taking his radio show off the public airwaves and over to Sirius satellite radio.,1,
2453,1.0,176.0,1.0,7.402896881103516e-05,[[England]] [[seek]] first one-day [[title]] against surprise package Windies LONDON: [[England]] have never won a major international limited-overs title while [[West]] [[Indies]] [[World]] [[Cup]] [[glory]] [[days]] [[date]] back to [[1975]] and [[1979]].,3.0,0.5324535369873047,Anglia seeking first one-day ttile against surprise package Windies LONDON: Uk have never won a major international limited-overs title while Wset Indіes Wold Cսp stardom dayѕ dates back to 19𝟕5 and 19 79.,1,
613,0.0,56.0,0.0,0.0002087950706481,Rain threatens triangular final ([[AFP]]) [[AFP]] - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular cricket tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,1.0,0.9999738931655884,Rain threatens triangular final (A FP) AP - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular cricket tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,1,
4448,2.0,84.0,2.0,0.0003192424774169,Divided S.E.C. Likely to Ask [[Hedge]] Funds for More [[Data]] A deeply divided S.E.C. is expected to approve rules requiring all but the smallest [[hedge]] funds to register with the S.E.[[C]]. and make their records available.,1.0,0.9728769063949584,Divided S.E.C. Likely to Ask Blanket Funds for More Dtaa A deeply divided S.E.C. is expected to approve rules requiring all but the smallest hedging funds to register with the S.E.ch. and make their records available.,1,
2232,2.0,107.0,2.0,0.0019375681877136,"Legal Loophole Inflates [[Profits]] in [[Student]] Loans The White House could have closed a loophole through which [[student]] [[loan]] companies are billing the federal [[government]] nearly a billion dollars, but chose not to.",0.0,0.742814838886261,"Legal Loophole Inflates Incomes in Pupils Loans The White House could have closed a loophole through which learners laon companies are billing the federal govt nearly a billion dollars, but chose not to.",1,
4118,0.0,120.0,0.0,0.0010202527046203,"[[Video]] Shows [[March]] [[Madrid]] Bombing A [[ball]] of fire erupts from a [[train]] car, smothering commuters with smoke and littering the platform with [[bodies]] and staining it with blood in a chilling security-camera videotape of the March 11 train bombings broadcast Tuesday by a Spanish station.",1.0,0.7423999309539795,"Videotaping Shows Mars Spaniard Bombing A soccer of fire erupts from a training car, smothering commuters with smoke and littering the platform with Ьodies and staining it with blood in a chilling security-camera videotape of the March 11 train bombings broadcast Tuesday by a Spanish station.",1,
1369,2.0,175.0,2.0,0.0015950798988342,"Attacks on Disney's Eisner Abate [[On]] [[Friday]], the former [[Disney]] directors who led a shareholder [[rebellion]] [[aimed]] at the ouster of Disney's chief executive and other directors this year [[said]] they had dropped [[plans]] to [[run]] a slate of directors at next year's shareholders meeting.",3.0,0.673393964767456,"Attacks on Disney's Eisner Abate Orn Fridɑy, the former Pixar directors who led a shareholder rebellioո targeted at the ouster of Disney's chief executive and other directors this year says they had dropped systems to execute a slate of directors at next year's shareholders meeting.",1,
