,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,text,result_type,perturbed_text
993,1.0,386.0,1.0,0.0004764795303344,"[[Quite]] [[simply]], [[Goldeneye]] is the single greatest N64 game to [[date]]. [[The]] learning curve is just about [[perfect]], and you'll still be [[playing]] it with your [[friends]] [[months]] on, as the multiplayer mode is [[nothing]] short of exceptional.<br /><br />The [[system]] for [[acquiring]] [[cheats]] for once requires some degree of skill, rather than simply [[knowing]] which buttons to press, and the [[challenge]] of Aztec on 00 agent [[level]] is [[astonishing]].<[[br]] /><br />All in all - it's the best game [[I've]] [[ever]] played on the N64",0.0,0.5653115510940552,"Qui𝚝e simlpy, Golԁeneye is the single greatest N64 game to da𝚝e. Nova learning curve is just about perfec𝚝, and you'll still be playіng it with your frinds mes on, as the multiplayer mode is anything short of exceptional.<br /><br />The sytem for acquir ing cհeats for once requires some degree of skill, rather than simply knоwing which buttons to press, and the cհallenge of Aztec on 00 agent tiers is astonishіng.<bⲅ /><br />All in all - it's the best game I'ѵe eveⲅ played on the N64",1,
859,1.0,129.0,1.0,0.0002378821372985,"This [[film]] is totally mindblowing. It manages to be thought provoking, funny, tragic, and cinematic yet claustrophobic.<br /><br />Although the flashbacks are unnecessary, the film maintains a pacy, punchy [[grip]] and the performances are all [[excellent]], in particular [[Alec]] [[Baldwin]], and the mesmerising Eric [[Bogosian]] as the film's anti-hero, Barry Champlain.",0.0,0.7604386210441589,"This flim is totally mindblowing. It manages to be thought provoking, funny, tragic, and cinematic yet claustrophobic.<br /><br />Although the flashbacks are unnecessary, the film maintains a pacy, punchy girp and the performances are all еxcellent, in particular Aelc Roberts, and the mesmerising Eric Bgosian as the film's anti-hero, Barry Champlain.",1,
971,1.0,231.0,1.0,0.0003565549850463,"Movie about two Australian girls--Debbie (Nell Schofield) and Sue (Sue Knight)--and what happens when they become girlfriends of two surfer guys.<br /><br />I caught this at an art cinema here in America in 1981. Technically I was still a teenager (I was 19) so I was interested in seeing how Australian teens acted. Script wise there's nothing new here. It shows the usual teenage adventures dealing with dating, sex, suicide etc etc. I always knew what was going to happen before it did but I was [[never]] bored. What I found interesting was, despite the accent and a few changes in clothes and hair, these teenagers aren't much different than American teens. They had many of the same difficulties and hang-ups. Also this was based on a book from a real surfer girl and her true life adventures and (I heard) it was a faithful adaptation of it. The acting was just OK but the actors were attractive and this was well-made and pretty interesting. So this is no unsung [[masterpiece]] but a pretty accurate portrayal of what it's like being a teenager and trying to be with the popular kids. I give it a 7.",0.0,0.7241768836975098,"Movie about two Australian girls--Debbie (Nell Schofield) and Sue (Sue Knight)--and what happens when they become girlfriends of two surfer guys.<br /><br />I caught this at an art cinema here in America in 1981. Technically I was still a teenager (I was 19) so I was interested in seeing how Australian teens acted. Script wise there's nothing new here. It shows the usual teenage adventures dealing with dating, sex, suicide etc etc. I always knew what was going to happen before it did but I was neveⲅ bored. What I found interesting was, despite the accent and a few changes in clothes and hair, these teenagers aren't much different than American teens. They had many of the same difficulties and hang-ups. Also this was based on a book from a real surfer girl and her true life adventures and (I heard) it was a faithful adaptation of it. The acting was just OK but the actors were attractive and this was well-made and pretty interesting. So this is no unsung masterpieϲe but a pretty accurate portrayal of what it's like being a teenager and trying to be with the popular kids. I give it a 7.",1,
27,1.0,142.0,1.0,0.4513157606124878,"While I can't say whether or not Larry Hama ever saw any of the old cartoons, I would think that writing said cartoons, file cards, and some of the comics would count for something.<br /><br />For fans of the old cartoon, this is pretty much a continuation of the same, except with a few new characters - and a more insane Cobra Commander.<br /><br />We still have all the old favorites too, but on a personal note, one thing that always irritated me was this ""Duke in charge"" stuff, when there are tons of other *officers* around instead.<br /><br />The battle sequences are similar to the old series as well; the main trick here seems to be the CGI. It's overall pretty [[good]], if not a little over-the-top.",0.0,0.600342333316803,"While I can't say whether or not Larry Hama ever saw any of the old cartoons, I would think that writing said cartoons, file cards, and some of the comics would count for something.<br /><br />For fans of the old cartoon, this is pretty much a continuation of the same, except with a few new characters - and a more insane Cobra Commander.<br /><br />We still have all the old favorites too, but on a personal note, one thing that always irritated me was this ""Duke in charge"" stuff, when there are tons of other *officers* around instead.<br /><br />The battle sequences are similar to the old series as well; the main trick here seems to be the CGI. It's overall pretty alright, if not a little over-the-top.",1,
231,1.0,280.0,1.0,0.0001531839370727,"Fritz Lang directed two great westerns: ""Western Union"" and ""The Return of Frank James"". The Frank James movie equals ""Jesse James"". ""Western Union"" is [[one]] of Randolph Scott's great westerns. I have never [[seen]] Robert Young in a western before; he is terrific as the telegraph employee. This is the only movie I can think of that is about the telegraph company opening up in the [[west]]. It is a high-geared [[story]] about the telegraph in the west, a triangle love [[story]], and about [[loyalty]]. <br /><br />The [[supporting]] cast is [[superb]]. Dean Jagger, who made a few westerns, plays the telegraph manager. Virginia Gilmore, who plays Mr. Jagger's sister, is the love interest in the movie. Ms. Gilmore had a short career in movies. She quit films in 1952 and became a drama coach. She is primarily known as the first Mrs. Yul Brynner. It is great to see Slim Summerville in a movie with Mr. Scott again. They were in two other great movies: ""Rebecca of Sunnybrook Farm"" and ""Jesse James"".",0.0,0.5062367916107178,"Fritz Lang directed two great westerns: ""Western Union"" and ""The Return of Frank James"". The Frank James movie equals ""Jesse James"". ""Western Union"" is onе of Randolph Scott's great westerns. I have never se en Robert Young in a western before; he is terrific as the telegraph employee. This is the only movie I can think of that is about the telegraph company opening up in the western. It is a high-geared storу about the telegraph in the west, a triangle love storу, and about loyal𝚝y. <br /><br />The suppоrting cast is supeⲅb. Dean Jagger, who made a few westerns, plays the telegraph manager. Virginia Gilmore, who plays Mr. Jagger's sister, is the love interest in the movie. Ms. Gilmore had a short career in movies. She quit films in 1952 and became a drama coach. She is primarily known as the first Mrs. Yul Brynner. It is great to see Slim Summerville in a movie with Mr. Scott again. They were in two other great movies: ""Rebecca of Sunnybrook Farm"" and ""Jesse James"".",1,
306,1.0,89.0,1.0,0.0025807619094848,"I [[loved]] this. It starts out as a fairly normal, slightly ponderous French art movie and then all of a sudden, halfway through it's turned on it's head. This part is brilliant as you realise you have been watching 2 plots not one. Sadly, the [[ending]] doesn't make much sense, which is a great shame. Oh yes, and it's brilliantly filmed.",0.0,0.5631779432296753,"I loed this. It starts out as a fairly normal, slightly ponderous French art movie and then all of a sudden, halfway through it's turned on it's head. This part is brilliant as you realise you have been watching 2 plots not one. Sadly, the ceases doesn't make much sense, which is a great shame. Oh yes, and it's brilliantly filmed.",1,
706,1.0,183.0,1.0,0.0003331899642944,"Isabelle Huppert must be one of the greatest actresses of her or any other generation. ""La Pianiste"" truly confirms it. As if that wasn't enough, Annie Girardot plays her mother and Annie Girardot is one of the greatest actresses of her or any other generation. So, as you may well imagine, those pieces of casting are [[worth]] the horror we're put through. Isabelle and Annie play characters we've never seen before on the screen. A mother and daughter yes but with such virulent fearlessness that sometimes I was unable even to blink or to breath. Personally, I don't believe in the director's intentions, I don't believe they (the intentions that is) go beyond the shocking anecdote and the ending made me scream with frustration but I was riveted by the story written in the face of the sensational Huppert and the fierceness of Girardot's strength. I highly recommend it to cinema lovers anywhere and to the collectors of great performances like me, you can't afford to miss ""La Pianiste""",0.0,0.9648157954216005,"Isabelle Huppert must be one of the greatest actresses of her or any other generation. ""La Pianiste"" truly confirms it. As if that wasn't enough, Annie Girardot plays her mother and Annie Girardot is one of the greatest actresses of her or any other generation. So, as you may well imagine, those pieces of casting are wortհ the horror we're put through. Isabelle and Annie play characters we've never seen before on the screen. A mother and daughter yes but with such virulent fearlessness that sometimes I was unable even to blink or to breath. Personally, I don't believe in the director's intentions, I don't believe they (the intentions that is) go beyond the shocking anecdote and the ending made me scream with frustration but I was riveted by the story written in the face of the sensational Huppert and the fierceness of Girardot's strength. I highly recommend it to cinema lovers anywhere and to the collectors of great performances like me, you can't afford to miss ""La Pianiste""",1,
496,1.0,275.0,1.0,0.0001733899116516,"Spoilers: This movie has it's problems, but in the end it gets the message across. [[I]] [[liked]] it because it ends the way [[things]] really do. The nice guy tries and tries, gets his heart broken several times, but in the end there is no [[typical]] hollywood ending. It ends the way such things always end, or at least always have in my own and friends' [[experiences]]. Anyone who thinks that the ending to this isn't how it really happens, as the first comment seemed to, believing that the girl would come around, realize she's dating an asshole who treats her bad because he doesn't care about her at all is either naive or lives in a more perfect world than I. [[I]] give it 7/10, extra points simply because it wasn't [[afraid]] to end on a down note, give no real resolution, just the [[main]] character left heartbroken, confused and alone as so many men of countless generations have been before.",0.0,0.5593007802963257,"Spoilers: This movie has it's problems, but in the end it gets the message across. ich rained it because it ends the way thin gs really do. The nice guy tries and tries, gets his heart broken several times, but in the end there is no classic hollywood ending. It ends the way such things always end, or at least always have in my own and friends' experimenting. Anyone who thinks that the ending to this isn't how it really happens, as the first comment seemed to, believing that the girl would come around, realize she's dating an asshole who treats her bad because he doesn't care about her at all is either naive or lives in a more perfect world than I. j give it 7/10, extra points simply because it wasn't fright to end on a down note, give no real resolution, just the leading character left heartbroken, confused and alone as so many men of countless generations have been before.",1,
784,1.0,615.0,1.0,0.0002421736717224,"Scintillating documentary about how a small group of idealistic young men have used music, art and dance to unify and heal the community of Vigario Geral, one of the most violent slum neighborhoods in Rio (""favela"" means neighborhood in Portuguese), offering to its young people a positive alternative to the lethal gangster world of drug traffickers.<br /><br />In their feature film-making debut, Zimbalist and Mochary have crafted a movie that is breathtaking because it works on so many [[different]] levels. [[As]] social [[document]], it gives the [[facts]] we need to know to have a context for understanding the significance of the particular story told here. The story itself is well developed, with a strong narrative arc, and, for added measure, it is shot through with [[keen]] suspense. There's an arresting, charismatic central protagonist, Anderson Sa: he's a savvy natural leader, articulate, courageous, spiritually evolved, a talented performer, a visionary who walks his talk.<br /><br />There's also plenty of music and dancing to entertain. There are talking heads  mainly Sa and his closest associate, Jose Junior - but they are presented with [[imaginative]] cinematic brilliance. The editing [[nicely]] mixes footage of differing themes, punctuated only occasionally by a few fact-filled still texts. The pace is as lively as the music. A lot gets accomplished in 78 minutes.<br /><br />Grupo Afro Reggae, the neighborhood social club that Anderson, Junior and a few others formed in 1993, deploy music and dance as the weapons to go up against the drug lords and the duplicitous police. They teach percussion skills to any kid who wants to join a class, along with dance, martial arts, a community newspaper. The only requirement for kids to belong is no smoking, no drinking, no drugs. There is a subtle, soft sell [[spiritual]] fabric running through the [[movement]], loosely based on the Hindu God Shiva, the destroyer of [[old]] habits.<br /><br />Jeff [[Zimbalist]], who also was the lead cinematographer and the editor, is a Modern Culture and Media student at Brown University. He burnished his chops editing feature documentaries for PBS and others, and he teaches film at the New York Film Academy and elsewhere. Matt Mochary, like Andrew Jarecki (""Capturing the Friedmans"") did a few years ago, recently came to film from the business world.<br /><br />Zimbalist and Mochary together won the award for best new filmmakers at the 2005 TribBeCa Film Festival, and ""Favela Rising"" was tied for the best film of the year in awards made for 2005 by the International Documentary Association. I could go on for pages about Afro Reggae, Sa, and this movie. A way better idea is simply for you to go see it! My grade: A 10/10",0.0,0.6901160478591919,"Scintillating documentary about how a small group of idealistic young men have used music, art and dance to unify and heal the community of Vigario Geral, one of the most violent slum neighborhoods in Rio (""favela"" means neighborhood in Portuguese), offering to its young people a positive alternative to the lethal gangster world of drug traffickers.<br /><br />In their feature film-making debut, Zimbalist and Mochary have crafted a movie that is breathtaking because it works on so many differen𝚝 levels. Since social documentation, it gives the factѕ we need to know to have a context for understanding the significance of the particular story told here. The story itself is well developed, with a strong narrative arc, and, for added measure, it is shot through with impatient suspense. There's an arresting, charismatic central protagonist, Anderson Sa: he's a savvy natural leader, articulate, courageous, spiritually evolved, a talented performer, a visionary who walks his talk.<br /><br />There's also plenty of music and dancing to entertain. There are talking heads  mainly Sa and his closest associate, Jose Junior - but they are presented with imagiative cinematic brilliance. The editing kindly mixes footage of differing themes, punctuated only occasionally by a few fact-filled still texts. The pace is as lively as the music. A lot gets accomplished in 78 minutes.<br /><br />Grupo Afro Reggae, the neighborhood social club that Anderson, Junior and a few others formed in 1993, deploy music and dance as the weapons to go up against the drug lords and the duplicitous police. They teach percussion skills to any kid who wants to join a class, along with dance, martial arts, a community newspaper. The only requirement for kids to belong is no smoking, no drinking, no drugs. There is a subtle, soft sell psychotropic fabric running through the mover, loosely based on the Hindu God Shiva, the destroyer of archaic habits.<br /><br />Jeff Zimblist, who also was the lead cinematographer and the editor, is a Modern Culture and Media student at Brown University. He burnished his chops editing feature documentaries for PBS and others, and he teaches film at the New York Film Academy and elsewhere. Matt Mochary, like Andrew Jarecki (""Capturing the Friedmans"") did a few years ago, recently came to film from the business world.<br /><br />Zimbalist and Mochary together won the award for best new filmmakers at the 2005 TribBeCa Film Festival, and ""Favela Rising"" was tied for the best film of the year in awards made for 2005 by the International Documentary Association. I could go on for pages about Afro Reggae, Sa, and this movie. A way better idea is simply for you to go see it! My grade: A 10/10",1,
239,1.0,284.0,1.0,0.0002263188362121,"[[Nightbreed]] blew my mind the first time I saw it. And it's [[held]] up quite well over the years. The sets and monster effects work, are some of the [[best]] [[I've]] ever seen. Nobody I know seems to have seen this [[film]], which I [[believe]] tanked at the box [[office]], because of the lack of interest in horror, in the early [[nineties]]. It plays like a dark, horrific fairy tale, and is a lot deeper, then you'd think, with a strong message against bigotry, presented by a rich mystical past, that Clive Barker created. What sucks is the film ends on a really cool sequel note, that we'll probably never see. My only minor gripe is that Craig Sheffer is only a passable actor at best, and the the project might have benefited with a better actor in the part. Just a minor complaint though as Sheffer does alright. I had a similar issue with Scott Bakula in Barker's Lord Of Illusions, not really a terrible performance, but I just didn't like him in the role as much as I would have other people.",0.0,0.797400712966919,"Nіghtbreed blew my mind the first time I saw it. And it's obligated up quite well over the years. The sets and monster effects work, are some of the Ьest I'vе ever seen. Nobody I know seems to have seen this flim, which I belieѵe tanked at the box desk, because of the lack of interest in horror, in the early nіneties. It plays like a dark, horrific fairy tale, and is a lot deeper, then you'd think, with a strong message against bigotry, presented by a rich mystical past, that Clive Barker created. What sucks is the film ends on a really cool sequel note, that we'll probably never see. My only minor gripe is that Craig Sheffer is only a passable actor at best, and the the project might have benefited with a better actor in the part. Just a minor complaint though as Sheffer does alright. I had a similar issue with Scott Bakula in Barker's Lord Of Illusions, not really a terrible performance, but I just didn't like him in the role as much as I would have other people.",1,
