,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,text,result_type,perturbed_text
4672,0.0,91.0,0.0,0.0011250376701354,"Vietnam Opens Bunker Used by Ho Chi Minh (AP) [[AP]] - Behind thick concrete walls and iron doors, Ho Chi Minh and other top [[Vietnamese]] [[leaders]] hid in secret underground tunnels during U.S. B-52 [[bombing]] [[raids]] to [[plot]] key [[military]] strategies that [[led]] to America's [[defeat]] in the Vietnam War.",3.0,0.6806126832962036,"Vietnam Opens Bunker Used by Ho Chi Minh (AP) AIP - Behind thick concrete walls and iron doors, Ho Chi Minh and other top Vienamese letaders hid in secret underground tunnels during U.S. B-52 bofbing raWids to llot key mlitary strategies that leq to America's hdefeat in the Vietnam War.",1,
2967,2.0,135.0,2.0,0.0008904337882995,"Saks [[announces]] store closings [[BIRMINGHAM]], Ala. They #[[39]];re [[closing]] eight Saks [[Fifth]] Avenue [[stores]] and three [[Off]] Fifth [[outlet]] stores. [[Saks]] [[Incorporated]] says shutting down weaker stores will allow the company to focus on its more  quot;[[productive]] [[quot]]; locations and further [[strengthen]] its [[brand]].",3.0,0.5476150512695312,"Saks announce store closings BIRMINHAM, Ala. They #3s;re clousing eight Saks Fitfh Avenue stroes and three ff Fifth oZtlet stores. SCaks Incorporaed says shutting down weaker stores will allow the company to focus on its more  quot;poductive qNuot; locations and further strngthen its rband.",1,
5133,2.0,123.0,2.0,0.0016680359840393,"Santander Takeover of [[Abbey]] Approved by UK #39;s FSA ([[Update1]]) The UK #39;s [[Financial]] [[Services]] Authority [[approved]] [[Santander]] [[Central]] [[Hispano]] SA #[[39]];s 9.4 billion-pound (\$[[17]].4 [[billion]]) [[takeover]] of [[Abbey]] National Plc, [[paving]] the [[way]] for Europe #[[39]];s [[biggest]] [[cross-border]] bank merger.",0.0,0.5256748199462891,"Santander Takeover of Abey Approved by UK #39;s FSA (Updat1) The UK #39;s Finncial Servces Authority apfroved SantLnder Cyentral Hwispano SA #3l9;s 9.4 billion-pound (\$d7.4 bililon) takeoevr of Abey National Plc, paviang the waOy for Europe #V39;s biggets crRoss-border bank merger.",1,
1014,3.0,98.0,3.0,0.0013613104820251,Oracle [[Moves]] To Monthly [[Patch]] Schedule An [[alert]] posted on the company #[[39]];s Web site [[outlined]] the [[patches]] that should be [[posted]] to fix [[numerous]] security [[holes]] in a [[number]] of applications.,2.0,0.5959380865097046,Oracle MovXs To Monthly atch Schedule An aleKrt posted on the company #3;s Web site otlined the paatches that should be psoted to fix numerus security howles in a nuber of applications.,1,
4700,0.0,99.0,0.0,0.0005900859832763,"3 police officials charged over [[Beslan]] siege [[ROSTOV-ON-DON]], RUSSIA - [[Three]] Russian police [[officers]] have been charged with criminal [[negligence]] in [[connection]] with the [[Beslan]] [[school]] [[hostage-taking]] that left 360 people [[dead]], almost half of them [[children]].",3.0,0.8559919595718384,"3 police officials charged over eBslan siege ROTOV-ON-DON, RUSSIA - hree Russian police ofifcers have been charged with criminal egligence in coynnection with the BesMan shool hostaget-aking that left 360 people ded, almost half of them childreP.",1,
2164,0.0,58.0,0.0,0.000683307647705,[[Jeanne]] death toll over 600 in [[Haiti]] (09/21/04)-- [[The]] [[death]] toll keeps rising in [[Haiti]]. Officials say at least 622 people have been killed by Hurricane Jeanne. Jeanne was downgraded to a tropical ,2.0,0.6202429533004761,Jenne death toll over 600 in Hiaiti (09/21/04)-- hTe Qdeath toll keeps rising in Hziti. Officials say at least 622 people have been killed by Hurricane Jeanne. Jeanne was downgraded to a tropical ,1,
5935,0.0,37.0,0.0,0.4702179431915283,Swedes beam poetry into outer space (Reuters) [[Reuters]] - Swedish poets have broadcast their work into outer space by radio to give alien life forms -- if they exist -- a taste\of earthling literature.,3.0,0.9440366625785828,Swedes beam poetry into outer space (Reuters) Reuterrs - Swedish poets have broadcast their work into outer space by radio to give alien life forms -- if they exist -- a taste\of earthling literature.,1,
3304,2.0,74.0,2.0,0.0022864341735839,Howard Stern moves radio show to Sirius Shock jock Howard Stern announced [[Wednesday]] he #[[39]];s [[taking]] his [[radio]] show off the [[public]] [[airwaves]] and over to [[Sirius]] [[satellite]] [[radio]].,3.0,0.5718855857849121,Howard Stern moves radio show to Sirius Shock jock Howard Stern announced WeJdnesday he #3T9;s atking his radno show off the pDblic airwaveA and over to Sirisu saetllite radfio.,1,
2453,1.0,129.0,1.0,0.0003507137298583,[[England]] [[seek]] first one-day [[title]] against surprise [[package]] [[Windies]] LONDON: [[England]] have [[never]] won a [[major]] international [[limited-overs]] [[title]] while [[West]] [[Indies]] World [[Cup]] [[glory]] days [[date]] [[back]] to 1975 and 1979.,3.0,0.99945467710495,nEgland slek first one-day tile against surprise pacage indies LONDON: Engand have nuver won a majox international limitdd-overs tite while Wets oIndies World Cpu vlory days ate baGck to 1975 and 1979.,1,
613,0.0,56.0,0.0,0.000777244567871,Rain threatens triangular final (AFP) [[AFP]] - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular cricket tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,1.0,0.9824275374412536,Rain threatens triangular final (AFP) AFjP - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular cricket tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,1,
