,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,text,result_type,perturbed_text
4672,0.0,130.0,0.0,0.0011250376701354,"Vietnam Opens Bunker Used by Ho Chi Minh (AP) [[AP]] - Behind thick concrete walls and iron doors, Ho Chi Minh and other top [[Vietnamese]] [[leaders]] hid in secret underground tunnels during U.S. B-52 [[bombing]] [[raids]] to plot key military strategies that led to America's [[defeat]] in the Vietnam War.",3.0,0.5853383541107178,"Vietnam Opens Bunker Used by Ho Chi Minh (AP) HA - Behind thick concrete walls and iron doors, Ho Chi Minh and other top Viet chefs hid in secret underground tunnels during U.S. B-52 boｍbing raiding to plot key military strategies that led to America's dfeat in the Vietnam War.",1,
2967,2.0,264.0,2.0,0.0008904337882995,"[[Saks]] [[announces]] [[store]] closings BIRMINGHAM, Ala. [[They]] #39;re [[closing]] [[eight]] Saks [[Fifth]] Avenue [[stores]] and [[three]] Off [[Fifth]] [[outlet]] stores. Saks [[Incorporated]] says [[shutting]] down weaker stores will [[allow]] the company to [[focus]] on its more  [[quot]];[[productive]] [[quot]]; locations and further [[strengthen]] its brand.",3.0,0.5083522796630859,"Sachs announ ces shops closings BIRMINGHAM, Ala. Them #39;re clоsing eigh𝚝 Saks Volt Avenue storage and thrеe Off Fiftհ egress stores. Saks Icorporated says shuttіng down weaker stores will enable the company to focusing on its more  iy;рroductive nbsp; locations and further s𝚝rengthen its brand.",1,
5133,2.0,332.0,2.0,0.0016680359840393,"Santander Takeover of [[Abbey]] Approved by [[UK]] #39;s [[FSA]] ([[Update1]]) [[The]] [[UK]] #[[39]];s [[Financial]] [[Services]] [[Authority]] [[approved]] Santander [[Central]] Hispano SA #[[39]];s 9.4 [[billion-pound]] (\$17.4 [[billion]]) [[takeover]] of [[Abbey]] [[National]] Plc, [[paving]] the [[way]] for Europe #39;s [[biggest]] [[cross-border]] bank merger.",0.0,0.5466086864471436,"Santander Takeover of Abe Approved by BRITANNICA #39;s FA (Updatel) Du BRITS #3৭;s Monetary Serices Permissions ratify Santander Vital Hispano SA #3৭;s 9.4 bil lion-pound (\$17.4 bіllion) coup of Abe Nation al Plc, pavi ng the camino for Europe #39;s hugest cross-bord er bank merger.",1,
4700,0.0,203.0,0.0,0.0005900859832763,"3 police officials charged over Beslan [[siege]] ROSTOV-ON-DON, [[RUSSIA]] - [[Three]] [[Russian]] police [[officers]] have been [[charged]] with [[criminal]] [[negligence]] in connection with the [[Beslan]] school hostage-taking that left 360 [[people]] [[dead]], almost half of them [[children]].",3.0,0.7848372459411621,"3 police officials charged over Beslan ѕiege ROSTOV-ON-DON, RSSIA - Thⲅee Ruѕsian police officeⲅs have been levied with ϲriminal negligеnce in connection with the Beslɑn school hostage-taking that left 360 humans daed, almost half of them kids.",1,
5935,0.0,47.0,0.0,0.4702179431915283,Swedes beam poetry into outer space (Reuters) [[Reuters]] - Swedish poets have broadcast their work into outer space by radio to give alien life forms -- if they exist -- a taste\of earthling literature.,3.0,0.9831581711769104,Swedes beam poetry into outer space (Reuters) Correspondent - Swedish poets have broadcast their work into outer space by radio to give alien life forms -- if they exist -- a taste\of earthling literature.,1,
2453,1.0,233.0,1.0,0.0003507137298583,[[England]] seek first [[one-day]] [[title]] against [[surprise]] [[package]] Windies [[LONDON]]: [[England]] have [[never]] won a major [[international]] [[limited-overs]] title while West [[Indies]] [[World]] [[Cup]] glory days date [[back]] to 1975 and 1979.,3.0,0.9998382925987244,Britain seek first on e-day ttile against surpⲅise pac𝒌age Windies UK: Engⅼand have nver won a major itnernational limited-ovеrs title while West Ind ies International Goblet glory days date backwards to 1975 and 1979.,1,
613,0.0,54.0,0.0,0.000777244567871,Rain threatens triangular final (AFP) [[AFP]] - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular cricket tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,1.0,0.9984465837478638,Rain threatens triangular final (AFP) A FP - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular cricket tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,1,
4448,2.0,223.0,2.0,0.0057523250579833,[[Divided]] S.E.C. [[Likely]] to Ask Hedge [[Funds]] for [[More]] [[Data]] A deeply divided S.E.C. is expected to [[approve]] rules [[requiring]] all but the [[smallest]] [[hedge]] [[funds]] to [[register]] with the S.E.C. and [[make]] their records available.,0.0,0.904026985168457,Split S.E.C. Apt to Ask Hedge Funding for Mоre Da ta A deeply divided S.E.C. is expected to ap prove rules reqսiring all but the tiniest blanket monies to registered with the S.E.C. and render their records available.,1,
2232,2.0,75.0,2.0,0.0079234838485717,"Legal Loophole Inflates Profits in Student [[Loans]] The White House could have closed a loophole through which student [[loan]] [[companies]] are billing the federal government nearly a billion dollars, but chose not to.",0.0,0.7116109728813171,"Legal Loophole Inflates Profits in Student Lending The White House could have closed a loophole through which student loaning comapnies are billing the federal government nearly a billion dollars, but chose not to.",1,
4118,0.0,138.0,0.0,0.0008652806282043,"[[Video]] [[Shows]] March [[Madrid]] Bombing A [[ball]] of fire erupts from a train [[car]], smothering commuters with smoke and littering the platform with bodies and staining it with blood in a chilling [[security-camera]] videotape of the [[March]] 11 train [[bombings]] [[broadcast]] Tuesday by a [[Spanish]] station.",3.0,0.5452936291694641,"Videotaped Exhibition March Madrіd Bombing A ballon of fire erupts from a train cars, smothering commuters with smoke and littering the platform with bodies and staining it with blood in a chilling security-caera videotape of the Marcհ 11 train bombin gs brodcast Tuesday by a Hispanic station.",1,
1369,2.0,59.0,2.0,0.0459140539169311,"Attacks on Disney's [[Eisner]] Abate On Friday, the former Disney directors who led a shareholder rebellion aimed at the ouster of Disney's chief executive and other directors this year said they had dropped plans to run a slate of directors at next year's shareholders meeting.",3.0,0.5164850950241089,"Attacks on Disney's E isner Abate On Friday, the former Disney directors who led a shareholder rebellion aimed at the ouster of Disney's chief executive and other directors this year said they had dropped plans to run a slate of directors at next year's shareholders meeting.",1,
7589,1.0,52.0,1.0,0.004220962524414,"The Newest Hope ; Marriage of Necessity Just Might Work Out NEW YORK - The TV lights were on, the cameras rolled and the symphony of cameras flashing in his face blinded Pedro [[Martinez]] - but not for long.",0.0,0.8374581933021545,"The Newest Hope ; Marriage of Necessity Just Might Work Out NEW YORK - The TV lights were on, the cameras rolled and the symphony of cameras flashing in his face blinded Pedro Matinez - but not for long.",1,
4106,0.0,191.0,0.0,0.0026815533638,"Iran given [[nuclear]] deadline the (International [[Atomic]] Energy [[Agency]]) [[board]] of governors, quot; he said.  quot;A proposal will be put to them. quot;. produce [[fuel]] for [[nuclear]] [[weapons]] -- but [[Tehran]] [[rejected]] the demand as [[illegal]].",3.0,0.5127303004264832,"Iran given nucⅼear deadline the (International Radiation Energy Organ) Ьoard of governors, quot; he said.  quot;A proposal will be put to them. quot;. produce gas for nuϲlear weapos -- but Iran refused the demand as illicit.",1,
5353,2.0,87.0,2.0,0.3207116723060608,"German Finance Professionals Grow Sharply (AP) AP - German [[finance]] professionals grew sharply more pessimistic about the country's [[economic]] growth outlook, fearing that the euro's record highs against the U.S. dollar will weigh on [[exports]], a monthly survey showed Tuesday.",0.0,0.5075674057006836,"German Finance Professionals Grow Sharply (AP) AP - German finace professionals grew sharply more pessimistic about the country's eϲonomic growth outlook, fearing that the euro's record highs against the U.S. dollar will weigh on export, a monthly survey showed Tuesday.",1,
2521,3.0,62.0,3.0,0.4221856594085693,"Soldiers' War [[Blogs]] Detail Life in Iraq Iraq war blogs are as varied as the soldiers who write them. Some sites feature practical news, war pictures and advice. Some are overtly political, with more slanting to the right than to the left. Some question the war, some cheer it.",0.0,0.5997649431228638,"Soldiers' War Bolgs Detail Life in Iraq Iraq war blogs are as varied as the soldiers who write them. Some sites feature practical news, war pictures and advice. Some are overtly political, with more slanting to the right than to the left. Some question the war, some cheer it.",1,
7059,3.0,189.0,3.0,0.0017637014389038,Summary Box: Breast Cancer [[Surgery]] Refined ([[AP]]) AP - [[NEW]] APPROACH: [[A]] study says that removing just one to three key lymph nodes can spare women [[lifelong]] [[arm]] problems and [[reliably]] [[indicate]] whether [[breast]] cancer has spread.,0.0,0.8263959288597107,Summary Box: Breast Cancer Surgeries Refined (PA) AP - NUEVO APPROACH: another study says that removing just one to three key lymph nodes can spare women permanent arming problems and trustworthy indicatе whether bⲅeast cancer has spread.,1,
1657,2.0,193.0,2.0,0.0013968348503112,Disney Foes Want [[Eisner]] [[Out]] [[Now]] [[Disgruntled]] [[former]] Disney [[directors]] Roy [[Disney]] and [[Stanley]] Gold told [[Disney]] #[[39]];s board [[Monday]] that CEO [[Michael]] [[Eisner]] should hit the [[road]] by [[early]] [[2005]] at the [[latest]].,3.0,0.548079252243042,Disney Foes Want Lasseter Outlet Currently Disgruոtled previous Disney administrators Roy Disnеy and Cayenne Gold told Disneyworld #3৭;s board Mondays that CEO Michel Weinstein should hit the rad by eary 2O05 at the newest.,1,
865,2.0,276.0,2.0,0.0008264183998107,"[[Tokyo]] [[Stocks]] [[Flat]], [[Focus]] on [[Data]]  [[TOKYO]] (Reuters) - [[Japanese]] [[stocks]] were [[flat]] in mid-morning  [[trade]] on Monday with confidence in the [[domestic]] [[economic]]  [[outlook]] [[failing]] to offset [[profit-taking]] that [[hit]] [[recent]] [[gainers]]  such as [[insurers]] and [[real]] [[estate]] stocks.",0.0,0.6423546671867371,"Japan Inventories Plat, Concentrates on Particulars  JAPAN (Reuters) - Japanesе stcks were platter in mid-morning  trɑde on Monday with confidence in the internally еconomic  perspectives inadequacy to offset profi𝚝-taking that struck rеcent ganers  such as insսrers and rеal inheritance stocks.",1,
5774,3.0,53.0,3.0,0.0230419635772705,"Dell Takes Another Cut at [[Blade]] Market  quot;The biggest danger to [[HP]] and IBM is a price war, quot; said John Enck of Gartner.  quot;Blades are still premium-priced products from IBM and HP.",2.0,0.5377314686775208,"Dell Takes Another Cut at Bⅼade Market  quot;The biggest danger to HORSEPOWER and IBM is a price war, quot; said John Enck of Gartner.  quot;Blades are still premium-priced products from IBM and HP.",1,
4916,2.0,140.0,2.0,0.0548553466796875,"Putin [[ready]] to probe other oil [[companies]] Russian President Vladimir Putin is [[ready]] to go after other oil [[companies]] the way he has [[hammered]] [[Yukos]], a [[top]] Kremlin [[official]] has said.",0.0,0.5606478452682495,"Putin reɑdy to probe other oil compɑnies Russian President Vladimir Putin is braced to go after other oil comрanies the way he has plastered Ykos, a topped Kremlin of𝚏icial has said.",1,
409,1.0,179.0,1.0,0.0003819465637207,"[[ROUNDUP]]: Franchitti overcomes [[pit]] mishap for [[IRL]] win FOUNTAIN, Colo. -- [[Dario]] Franchitti [[shook]] off a [[potentially]] [[dangerous]] [[pit]] [[mishap]] to [[win]] the IRL #[[39]];s Honda 225 [[Sunday]] at Pikes Peak International Raceway.",3.0,0.560434877872467,"MAILBAG: Franchitti overcomes excavation mishap for IL win FOUNTAIN, Colo. -- Daⲅio Franchitti shoоk off a poten𝚝ially dangeⲅous excavations miѕhap to wn the IRL #3৭;s Honda 225 Sսnday at Pikes Peak International Raceway.",1,
5766,2.0,113.0,2.0,0.0009352564811706,Boeing Offers [[777]] Cargo Freighter [[Boeing]] Co. on [[Monday]] said it is offering a [[777]] cargo model that will be the largest and farthest-flying twin-engine freighter. The [[Boeing]] [[777]] freighter is [[scheduled]] to enter service in the fourth quarter of 2008.,3.0,0.5326269865036011,Boeing Offers 77𝟕 Cargo Freighter Beoing Co. on Monԁay said it is offering a 77 cargo model that will be the largest and farthest-flying twin-engine freighter. The Airline 𝟕77 freighter is envisioned to enter service in the fourth quarter of 2008.,1,
