,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,text,result_type,perturbed_text
859,1.0,71.0,1.0,0.0011295676231384,"This film is totally [[mindblowing]]. It [[manages]] to be [[thought]] provoking, funny, tragic, and cinematic yet [[claustrophobic]].<br /><br />Although the flashbacks are unnecessary, the film maintains a pacy, punchy grip and the performances are all [[excellent]], in particular Alec Baldwin, and the mesmerising Eric Bogosian as the film's anti-hero, Barry Champlain.",0.0,0.9003512859344482,"This film is totally mindlowing. It mazages to be thoFught provoking, funny, tragic, and cinematic yet clapustrophobic.<br /><br />Although the flashbacks are unnecessary, the film maintains a pacy, punchy grip and the performances are all exceZllent, in particular Alec Baldwin, and the mesmerising Eric Bogosian as the film's anti-hero, Barry Champlain.",1,
298,1.0,541.0,1.0,0.1793985962867736,"One year after 'Love Thy Neighbour' made its I.T.V. debut, it followed the route taken by 'On The Buses' and 'Steptoe & Son' by graduating onto the big screen, in a picture made by Hammer Films. It opens with a stirring patriotic speech lauding the virtues of England's green and pleasant land, then cuts to a shot of Eddie and Bill walking up a street, arguing furiously. This escalates into a strange sequence of white and black neighbours vandalising their each other's homes. At least the original theme tune is retained ( even if it is sung by someone other than Stuart Gillies ).<br /><br />The local paper - 'The Gazette' - is holding a contest to find the best neighbours, the winners landing a Mediterranean cruise. Barbie suggests to Joan that they should enter. The thing is, can Bill and Eddie stay friends long enough to win it? That's the [[main]] [[part]] of the plot. The film is by and large [[episodic]]. One chunk is lifted directly from Season 1, namely Bill and Eddie going to the Club pretending to be on 'union business'. In reality they're going to see a stripper ( not meeting two girls ). Another portion of the movie has Bill, along with other black factory workers ( in the series he was the only one ), breaking a strike Eddie has helped bring about by various ploys ( including being smuggled in through the gates in beer barrels ). While another ( seemingly inspired by Powell and Driver's 'For The Love Of Ada' ) sees Eddie's talkative mother ( the magnificent Patricia Hayes ) getting friendly with Bill's father ( Charles Hyatt ).<br /><br />The climax to Episode 1 Season 1 reappears in an expanded form. Bill once more puts on paint and a towel to terrify Eddie, but his friends join him, and they dance round a drum containing a naked Booth, so that they can pretend to cook and eat him. Eddie then has to make his way home in the nude ( surprisingly, there is less nudity here than there was in Episode 2 Season 2 ).<br /><br />The film ends with the Reynolds and the Booths winning the 'Love Thy Neighbour' contest, and taking the cruise together, but there's an unexpected twist involving Joan's sex-mad brother Cyril ( James Beck - 'Private Walker' of 'Dad's Army' ), who is working as a steward.<br /><br />This is your typical '70's sitcom-into-movie, with all the faults usually prevalent in such films. The laughs are scattered about, and interest wanes after about half an hour. The cast is augmented by familiar faces such as Melvyn Hayes ( cast as 'Terry', a character from Episode 2 Season 1, played on that occasion by Leslie Meadows ), Bill Fraser ( as the factory manager ), Anna Dawson, Andria Lawrence ( who seems to have been in every '70's British comedy film, mostly cast as nymphomaniacs ), and Arthur English. The director, John Robins, was also responsible for the 'Man About The House' movie.<br /><br />Funniest moment - while Eddie sleeps in a quiet part of the factory, Bill paints his face black. The first he knows of it is when the manager's secretary screams in terror. The tables have been turned!",0.0,0.5430775880813599,"One year after 'Love Thy Neighbour' made its I.T.V. debut, it followed the route taken by 'On The Buses' and 'Steptoe & Son' by graduating onto the big screen, in a picture made by Hammer Films. It opens with a stirring patriotic speech lauding the virtues of England's green and pleasant land, then cuts to a shot of Eddie and Bill walking up a street, arguing furiously. This escalates into a strange sequence of white and black neighbours vandalising their each other's homes. At least the original theme tune is retained ( even if it is sung by someone other than Stuart Gillies ).<br /><br />The local paper - 'The Gazette' - is holding a contest to find the best neighbours, the winners landing a Mediterranean cruise. Barbie suggests to Joan that they should enter. The thing is, can Bill and Eddie stay friends long enough to win it? That's the ain paOrt of the plot. The film is by and large Spisodic. One chunk is lifted directly from Season 1, namely Bill and Eddie going to the Club pretending to be on 'union business'. In reality they're going to see a stripper ( not meeting two girls ). Another portion of the movie has Bill, along with other black factory workers ( in the series he was the only one ), breaking a strike Eddie has helped bring about by various ploys ( including being smuggled in through the gates in beer barrels ). While another ( seemingly inspired by Powell and Driver's 'For The Love Of Ada' ) sees Eddie's talkative mother ( the magnificent Patricia Hayes ) getting friendly with Bill's father ( Charles Hyatt ).<br /><br />The climax to Episode 1 Season 1 reappears in an expanded form. Bill once more puts on paint and a towel to terrify Eddie, but his friends join him, and they dance round a drum containing a naked Booth, so that they can pretend to cook and eat him. Eddie then has to make his way home in the nude ( surprisingly, there is less nudity here than there was in Episode 2 Season 2 ).<br /><br />The film ends with the Reynolds and the Booths winning the 'Love Thy Neighbour' contest, and taking the cruise together, but there's an unexpected twist involving Joan's sex-mad brother Cyril ( James Beck - 'Private Walker' of 'Dad's Army' ), who is working as a steward.<br /><br />This is your typical '70's sitcom-into-movie, with all the faults usually prevalent in such films. The laughs are scattered about, and interest wanes after about half an hour. The cast is augmented by familiar faces such as Melvyn Hayes ( cast as 'Terry', a character from Episode 2 Season 1, played on that occasion by Leslie Meadows ), Bill Fraser ( as the factory manager ), Anna Dawson, Andria Lawrence ( who seems to have been in every '70's British comedy film, mostly cast as nymphomaniacs ), and Arthur English. The director, John Robins, was also responsible for the 'Man About The House' movie.<br /><br />Funniest moment - while Eddie sleeps in a quiet part of the factory, Bill paints his face black. The first he knows of it is when the manager's secretary screams in terror. The tables have been turned!",1,
971,1.0,207.0,1.0,0.0138737559318542,"Movie about two Australian girls--Debbie (Nell Schofield) and Sue (Sue Knight)--and what happens when they become girlfriends of two surfer guys.<br /><br />I caught this at an art cinema here in America in 1981. Technically I was still a teenager (I was 19) so I was interested in seeing how Australian teens acted. Script wise there's nothing new here. It shows the usual teenage adventures dealing with dating, sex, suicide etc etc. I always knew what was going to happen before it did but I was [[never]] bored. What I found interesting was, despite the accent and a few changes in clothes and hair, these teenagers aren't much different than American teens. They had many of the same difficulties and hang-ups. Also this was based on a book from a real surfer girl and her true life adventures and (I heard) it was a faithful adaptation of it. The acting was just OK but the actors were attractive and this was well-made and pretty interesting. So this is no unsung masterpiece but a pretty accurate portrayal of what it's like being a teenager and trying to be with the popular kids. I [[give]] it a 7.",0.0,0.7089251279830933,"Movie about two Australian girls--Debbie (Nell Schofield) and Sue (Sue Knight)--and what happens when they become girlfriends of two surfer guys.<br /><br />I caught this at an art cinema here in America in 1981. Technically I was still a teenager (I was 19) so I was interested in seeing how Australian teens acted. Script wise there's nothing new here. It shows the usual teenage adventures dealing with dating, sex, suicide etc etc. I always knew what was going to happen before it did but I was nGever bored. What I found interesting was, despite the accent and a few changes in clothes and hair, these teenagers aren't much different than American teens. They had many of the same difficulties and hang-ups. Also this was based on a book from a real surfer girl and her true life adventures and (I heard) it was a faithful adaptation of it. The acting was just OK but the actors were attractive and this was well-made and pretty interesting. So this is no unsung masterpiece but a pretty accurate portrayal of what it's like being a teenager and trying to be with the popular kids. I givS it a 7.",1,
27,1.0,150.0,1.0,0.0219894051551818,"While I can't say whether or not Larry Hama ever saw any of the old cartoons, I would think that writing said cartoons, file cards, and some of the comics would count for something.<br /><br />For fans of the old cartoon, this is pretty much a continuation of the same, [[except]] with a few new characters - and a more insane Cobra Commander.<br /><br />We still have all the old favorites too, but on a personal note, one thing that always irritated me was this ""Duke in charge"" stuff, when there are tons of other *officers* around instead.<br /><br />The battle sequences are [[similar]] to the old series as well; the main trick here seems to be the CGI. It's overall pretty [[good]], if not a [[little]] [[over-the-top]].",0.0,0.6353163719177246,"While I can't say whether or not Larry Hama ever saw any of the old cartoons, I would think that writing said cartoons, file cards, and some of the comics would count for something.<br /><br />For fans of the old cartoon, this is pretty much a continuation of the same, excpet with a few new characters - and a more insane Cobra Commander.<br /><br />We still have all the old favorites too, but on a personal note, one thing that always irritated me was this ""Duke in charge"" stuff, when there are tons of other *officers* around instead.<br /><br />The battle sequences are similarr to the old series as well; the main trick here seems to be the CGI. It's overall pretty gouod, if not a ltitle over-the-otp.",1,
231,1.0,242.0,1.0,0.0022120475769042,"Fritz Lang directed two great westerns: ""Western Union"" and ""The Return of Frank James"". The Frank James movie equals ""Jesse James"". ""Western Union"" is one of Randolph Scott's great westerns. I have never seen Robert Young in a [[western]] before; he is terrific as the telegraph [[employee]]. This is the only movie I can think of that is about the telegraph company opening up in the west. [[It]] is a [[high-geared]] story about the telegraph in the west, a triangle love story, and about loyalty. <[[br]] /><br />[[The]] supporting cast is [[superb]]. Dean Jagger, who made a few westerns, plays the telegraph manager. Virginia Gilmore, who plays Mr. Jagger's sister, is the love interest in the movie. Ms. Gilmore had a short career in movies. She quit films in 1952 and became a drama coach. She is primarily known as the first Mrs. Yul Brynner. It is [[great]] to see Slim Summerville in a movie with Mr. Scott again. They were in two other [[great]] movies: ""Rebecca of Sunnybrook Farm"" and ""Jesse James"".",0.0,0.5010412931442261,"Fritz Lang directed two great westerns: ""Western Union"" and ""The Return of Frank James"". The Frank James movie equals ""Jesse James"". ""Western Union"" is one of Randolph Scott's great westerns. I have never seen Robert Young in a wetsern before; he is terrific as the telegraph empooyee. This is the only movie I can think of that is about the telegraph company opening up in the west. II is a hiEh-geared story about the telegraph in the west, a triangle love story, and about loyalty. <Lbr /><br />hTe supporting cast is supebr. Dean Jagger, who made a few westerns, plays the telegraph manager. Virginia Gilmore, who plays Mr. Jagger's sister, is the love interest in the movie. Ms. Gilmore had a short career in movies. She quit films in 1952 and became a drama coach. She is primarily known as the first Mrs. Yul Brynner. It is greal to see Slim Summerville in a movie with Mr. Scott again. They were in two other greta movies: ""Rebecca of Sunnybrook Farm"" and ""Jesse James"".",1,
306,1.0,74.0,1.0,0.0009783506393432,"I [[loved]] this. It starts out as a fairly normal, slightly ponderous French art movie and then all of a sudden, halfway through it's turned on it's head. This part is [[brilliant]] as you realise you have been watching 2 plots not one. Sadly, the ending doesn't make much sense, which is a great shame. Oh yes, and it's [[brilliantly]] filmed.",0.0,0.921758770942688,"I Bloved this. It starts out as a fairly normal, slightly ponderous French art movie and then all of a sudden, halfway through it's turned on it's head. This part is billiant as you realise you have been watching 2 plots not one. Sadly, the ending doesn't make much sense, which is a great shame. Oh yes, and it's billiantly filmed.",1,
706,1.0,275.0,1.0,0.0023137331008911,"Isabelle Huppert must be one of the greatest actresses of her or any other generation. ""La [[Pianiste]]"" truly [[confirms]] it. As if that wasn't enough, Annie [[Girardot]] plays her mother and Annie [[Girardot]] is one of the greatest actresses of her or any other generation. So, as you may well imagine, those pieces of casting are worth the horror [[we're]] [[put]] through. Isabelle and Annie [[play]] characters we've never seen before on the screen. A mother and daughter yes but with such virulent [[fearlessness]] that sometimes I was unable even to blink or to breath. Personally, I don't believe in the director's intentions, I don't believe they (the intentions that is) go beyond the shocking [[anecdote]] and the ending made me scream with frustration but I was [[riveted]] by the [[story]] written in the [[face]] of the sensational Huppert and the [[fierceness]] of [[Girardot's]] strength. I [[highly]] [[recommend]] it to [[cinema]] [[lovers]] [[anywhere]] and to the collectors of great [[performances]] [[like]] me, you can't [[afford]] to [[miss]] ""La Pianiste""",0.0,0.5000424385070801,"Isabelle Huppert must be one of the greatest actresses of her or any other generation. ""La ianiste"" truly conRfirms it. As if that wasn't enough, Annie Grardot plays her mother and Annie Gnirardot is one of the greatest actresses of her or any other generation. So, as you may well imagine, those pieces of casting are worth the horror were ptu through. Isabelle and Annie splay characters we've never seen before on the screen. A mother and daughter yes but with such virulent faerlessness that sometimes I was unable even to blink or to breath. Personally, I don't believe in the director's intentions, I don't believe they (the intentions that is) go beyond the shocking anMecdote and the ending made me scream with frustration but I was rivetehd by the stYry written in the faec of the sensational Huppert and the fiercenes of Girardont's strength. I ighly recommedn it to inema lvers anWywhere and to the collectors of great performanes lrike me, you can't affor to mis ""La Pianiste""",1,
558,1.0,369.0,1.0,0.158021330833435,"Progeny is about a husband and wife who experience time loss while making love. Completely unaware of what this bizarre experience means they try to go on with their lives. The hubby begins questioning the bizarre event and gets help through a very annoying psychiatrist. He comes to believe that aliens are responsible for this lapse in time and that the unborn baby he once thought was his and his wife's actually belongs to the aliens.<br /><br />If ya ask me, this is a [[great]] scifi/horror story. Taking a highly questionable real-life scenario involving alien abduction and hybrid breeding is definite thumbs up from this guy. I love all things related to aliens and this story definitely delivered some good ideas. So if you also share an interest in things extraterrestrial, you should be pretty happy with Progeny. At least story-wise anyways.<br /><br />Unfortunately the movie overall is pretty [[average]]. With average acting by all actors. Yep, even by the consistently awesome Mr. Dourif, who still does deliver the best performance. Though the black head doctor, delivers his lines really well. There are a few points in the flick where some of the delivery is cringe or laugh worthy, which is fine in my book. I like them cheesy and this had a little bit of some nice stinky cheese, and I mean that in a good way.<br /><br />Anyways, with a less than stellar script you can't really blame all the actors. I especially didn't care for the Mother Hysteria the film went for. She wanted a baby so badly that she'd neglect and dismiss everything her loving husband (who's a doctor!!) said to her. It almost reached a point where you actually didn't care what happened to her.<br /><br />The Progeny is another flick by Brian Yuzna from the icky-sticky film, Society. Again he delivers some slimy effects, and again he delivers a pretty unique tale of horror. If you're into scifi/horror or are a fan of Dourif and or Yuzna films, there's no real reason not to check out this flick if you get the chance. A generous 7 outta 10.",0.0,0.6332545280456543,"Progeny is about a husband and wife who experience time loss while making love. Completely unaware of what this bizarre experience means they try to go on with their lives. The hubby begins questioning the bizarre event and gets help through a very annoying psychiatrist. He comes to believe that aliens are responsible for this lapse in time and that the unborn baby he once thought was his and his wife's actually belongs to the aliens.<br /><br />If ya ask me, this is a gerat scifi/horror story. Taking a highly questionable real-life scenario involving alien abduction and hybrid breeding is definite thumbs up from this guy. I love all things related to aliens and this story definitely delivered some good ideas. So if you also share an interest in things extraterrestrial, you should be pretty happy with Progeny. At least story-wise anyways.<br /><br />Unfortunately the movie overall is pretty avreage. With average acting by all actors. Yep, even by the consistently awesome Mr. Dourif, who still does deliver the best performance. Though the black head doctor, delivers his lines really well. There are a few points in the flick where some of the delivery is cringe or laugh worthy, which is fine in my book. I like them cheesy and this had a little bit of some nice stinky cheese, and I mean that in a good way.<br /><br />Anyways, with a less than stellar script you can't really blame all the actors. I especially didn't care for the Mother Hysteria the film went for. She wanted a baby so badly that she'd neglect and dismiss everything her loving husband (who's a doctor!!) said to her. It almost reached a point where you actually didn't care what happened to her.<br /><br />The Progeny is another flick by Brian Yuzna from the icky-sticky film, Society. Again he delivers some slimy effects, and again he delivers a pretty unique tale of horror. If you're into scifi/horror or are a fan of Dourif and or Yuzna films, there's no real reason not to check out this flick if you get the chance. A generous 7 outta 10.",1,
239,1.0,197.0,1.0,0.053784430027008,"Nightbreed blew my mind the first time I saw it. And it's held up quite well over the years. The sets and monster effects work, are some of the best I've ever seen. Nobody I know seems to have seen this film, which I believe tanked at the box office, because of the [[lack]] of interest in horror, in the early nineties. It plays like a dark, horrific fairy tale, and is a lot [[deeper]], then you'd think, with a strong message against bigotry, presented by a rich mystical past, that Clive Barker created. What sucks is the film ends on a really [[cool]] sequel note, that we'll probably never see. My only minor gripe is that Craig Sheffer is only a passable actor at best, and the the project might have benefited with a better actor in the part. Just a minor complaint though as Sheffer does alright. I had a similar issue with Scott Bakula in Barker's Lord Of Illusions, not really a terrible performance, but I just didn't like him in the role as much as I would have other people.",0.0,0.733659029006958,"Nightbreed blew my mind the first time I saw it. And it's held up quite well over the years. The sets and monster effects work, are some of the best I've ever seen. Nobody I know seems to have seen this film, which I believe tanked at the box office, because of the lback of interest in horror, in the early nineties. It plays like a dark, horrific fairy tale, and is a lot deepeX, then you'd think, with a strong message against bigotry, presented by a rich mystical past, that Clive Barker created. What sucks is the film ends on a really col sequel note, that we'll probably never see. My only minor gripe is that Craig Sheffer is only a passable actor at best, and the the project might have benefited with a better actor in the part. Just a minor complaint though as Sheffer does alright. I had a similar issue with Scott Bakula in Barker's Lord Of Illusions, not really a terrible performance, but I just didn't like him in the role as much as I would have other people.",1,
578,1.0,228.0,1.0,0.0011125206947326,"These [[immortal]] [[lines]] begin [[The]] Jack Starret directed masterpiece,'[[The]] Dion [[Brothers']]. [[The]] plot centers around two blue collar West Virginian brothers (Stacy Keach and Frederic Forrest) who commit robberies in hopes of using the money to open a seafood restaurant!!? What follows is quite an [[adventure]], and many comedic events ensue. The action scenes are all [[top]] notch and consist of some [[nicely]] realized shootouts. The latter of which is absolutely amazing and occurs in an abandoned building being demolished by a wrecking ball! The [[film]] was written by now famous director Terrence Malick and features an early appearance by Margot Kidder. [[All]] in all, an [[excellent]] [[hidden]] [[gem]] of the [[70s]] and easily one of the finest action/[[comedy]] hybrids every made. Hopefully it gets a decent widescreen DVD release soon.",0.0,0.593880295753479,"These immoratl liznes begin hTe Jack Starret directed masterpiece,'hTe Dion Borthers'. ThQ plot centers around two blue collar West Virginian brothers (Stacy Keach and Frederic Forrest) who commit robberies in hopes of using the money to open a seafood restaurant!!? What follows is quite an advVenture, and many comedic events ensue. The action scenes are all tpo notch and consist of some nFicely realized shootouts. The latter of which is absolutely amazing and occurs in an abandoned building being demolished by a wrecking ball! The fil was written by now famous director Terrence Malick and features an early appearance by Margot Kidder. Al in all, an execllent heidden egm of the 7s and easily one of the finest action/comMedy hybrids every made. Hopefully it gets a decent widescreen DVD release soon.",1,
