,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,text,result_type,perturbed_text
859,1.0,176.0,1.0,0.0011295676231384,"This film is totally mindblowing. It [[manages]] to be thought provoking, funny, [[tragic]], and cinematic [[yet]] claustrophobic.<br /><br />[[Although]] the [[flashbacks]] are unnecessary, the film [[maintains]] a pacy, punchy grip and the performances are all [[excellent]], in [[particular]] Alec Baldwin, and the mesmerising Eric Bogosian as the film's anti-hero, Barry Champlain.",0.0,0.5603519678115845,"This film is totally mindblowing. It managеs to be thought provoking, funny, disastrous, and cinematic yеt claustrophobic.<br /><br />Alhtough the flshbacks are unnecessary, the film main𝚝ains a pacy, punchy grip and the performances are all exϲellent, in partiϲular Alec Baldwin, and the mesmerising Eric Bogosian as the film's anti-hero, Barry Champlain.",1,
298,1.0,622.0,1.0,0.1793985962867736,"One year after 'Love Thy Neighbour' made its I.T.V. [[debut]], it followed the route taken by 'On The Buses' and 'Steptoe & [[Son']] by graduating onto the big screen, in a picture made by Hammer Films. It opens with a stirring patriotic speech lauding the virtues of England's green and pleasant land, then cuts to a shot of Eddie and Bill walking up a street, arguing furiously. This escalates into a strange sequence of white and black neighbours vandalising their each other's homes. At least the original theme tune is retained ( even if it is sung by someone other than Stuart Gillies ).<br /><br />The local paper - 'The Gazette' - is holding a contest to find the best neighbours, the winners landing a Mediterranean cruise. Barbie suggests to Joan that they should enter. The thing is, can Bill and Eddie stay friends long enough to win it? [[That's]] the main part of the plot. The film is by and large [[episodic]]. One chunk is lifted directly from Season 1, namely Bill and Eddie going to the Club pretending to be on 'union business'. In reality they're going to see a stripper ( not meeting two girls ). Another portion of the movie has Bill, along with other black factory workers ( in the series he was the only one ), breaking a strike Eddie has helped bring about by various ploys ( including being smuggled in through the gates in beer barrels ). While another ( seemingly inspired by Powell and Driver's 'For The Love Of Ada' ) sees Eddie's talkative mother ( the magnificent Patricia Hayes ) getting friendly with Bill's father ( Charles Hyatt ).<br /><br />The climax to Episode 1 Season 1 reappears in an expanded form. Bill once more puts on paint and a towel to terrify Eddie, but his friends join him, and they dance round a drum containing a naked Booth, so that they can pretend to cook and eat him. Eddie then has to make his way home in the nude ( surprisingly, there is less nudity here than there was in Episode 2 Season 2 ).<br /><br />The film ends with the Reynolds and the [[Booths]] winning the 'Love Thy Neighbour' contest, and taking the cruise together, but there's an unexpected twist involving [[Joan's]] sex-mad brother Cyril ( James Beck - 'Private Walker' of 'Dad's Army' ), who is working as a steward.<br /><br />This is your typical '[[70's]] sitcom-into-movie, with all the faults usually prevalent in such films. The laughs are scattered about, and interest wanes after about half an hour. The cast is augmented by familiar faces such as Melvyn Hayes ( cast as 'Terry', a character from Episode 2 Season 1, played on that occasion by Leslie Meadows ), Bill Fraser ( as the factory manager ), Anna Dawson, Andria Lawrence ( who seems to have been in every '70's British comedy film, mostly cast as nymphomaniacs ), and Arthur English. The director, John Robins, was also responsible for the 'Man About The House' movie.<br /><br />Funniest moment - while Eddie sleeps in a quiet part of the factory, Bill paints his face black. The first he knows of it is when the manager's secretary screams in terror. The tables have been turned!",0.0,0.6249845027923584,"One year after 'Love Thy Neighbour' made its I.T.V. infancy, it followed the route taken by 'On The Buses' and 'Steptoe & Soո' by graduating onto the big screen, in a picture made by Hammer Films. It opens with a stirring patriotic speech lauding the virtues of England's green and pleasant land, then cuts to a shot of Eddie and Bill walking up a street, arguing furiously. This escalates into a strange sequence of white and black neighbours vandalising their each other's homes. At least the original theme tune is retained ( even if it is sung by someone other than Stuart Gillies ).<br /><br />The local paper - 'The Gazette' - is holding a contest to find the best neighbours, the winners landing a Mediterranean cruise. Barbie suggests to Joan that they should enter. The thing is, can Bill and Eddie stay friends long enough to win it? Tat's the main part of the plot. The film is by and large eipsodic. One chunk is lifted directly from Season 1, namely Bill and Eddie going to the Club pretending to be on 'union business'. In reality they're going to see a stripper ( not meeting two girls ). Another portion of the movie has Bill, along with other black factory workers ( in the series he was the only one ), breaking a strike Eddie has helped bring about by various ploys ( including being smuggled in through the gates in beer barrels ). While another ( seemingly inspired by Powell and Driver's 'For The Love Of Ada' ) sees Eddie's talkative mother ( the magnificent Patricia Hayes ) getting friendly with Bill's father ( Charles Hyatt ).<br /><br />The climax to Episode 1 Season 1 reappears in an expanded form. Bill once more puts on paint and a towel to terrify Eddie, but his friends join him, and they dance round a drum containing a naked Booth, so that they can pretend to cook and eat him. Eddie then has to make his way home in the nude ( surprisingly, there is less nudity here than there was in Episode 2 Season 2 ).<br /><br />The film ends with the Reynolds and the Booth winning the 'Love Thy Neighbour' contest, and taking the cruise together, but there's an unexpected twist involving Jan's sex-mad brother Cyril ( James Beck - 'Private Walker' of 'Dad's Army' ), who is working as a steward.<br /><br />This is your typical '7 0's sitcom-into-movie, with all the faults usually prevalent in such films. The laughs are scattered about, and interest wanes after about half an hour. The cast is augmented by familiar faces such as Melvyn Hayes ( cast as 'Terry', a character from Episode 2 Season 1, played on that occasion by Leslie Meadows ), Bill Fraser ( as the factory manager ), Anna Dawson, Andria Lawrence ( who seems to have been in every '70's British comedy film, mostly cast as nymphomaniacs ), and Arthur English. The director, John Robins, was also responsible for the 'Man About The House' movie.<br /><br />Funniest moment - while Eddie sleeps in a quiet part of the factory, Bill paints his face black. The first he knows of it is when the manager's secretary screams in terror. The tables have been turned!",1,
672,1.0,475.0,1.0,0.0011126399040222,"The movie Haggard is [[one]] of the funniest movies of all time. It [[features]] the cast from CKY (the [[movies]]) and also has a [[GREAT]] soundtrack. If you have [[seen]] any CKY or [[Viva]] [[La]] Bam you will [[notice]] that everybody (from those two) are in it. Including Bam's [[parents]] and many other people.<br /><br />The [[story]] is about Ryan Dunn's girlfriend Glauren (Jennifer Rivall) cheating on him, and him trying to get [[back]] at her. He does this by having Valo ([[Bam]]) and Falcone (Dicamillo) vandalize her house. [[There]] are many different [[characters]] with [[many]] different [[stories]].<br /><br />[[There]] is [[great]] [[music]] on the [[soundtrack]]. Bands such as Him & Her, CKY, Gnar Kill, Daniel Lioneye. Iggy and the Stooges Pop, and New Order. <br /><br />[[If]] you do not [[like]] Viva La Bam or CKY (the movies) I doubt you will like this. If you DO like that stuff...this [[movie]] is [[great]].",0.0,0.8481656312942505,"The movie Haggard is someone of the funniest movies of all time. It fеatures the cast from CKY (the cinema) and also has a TERRIFIC soundtrack. If you have noticed any CKY or Alive Las Bam you will notification that everybody (from those two) are in it. Including Bam's parental and many other people.<br /><br />The s𝚝ory is about Ryan Dunn's girlfriend Glauren (Jennifer Rivall) cheating on him, and him trying to get retrograde at her. He does this by having Valo (Bm) and Falcone (Dicamillo) vandalize her house. Vi are many different trait with multiple different histories.<br /><br />Ix is gret musical on the soundt rack. Bands such as Him & Her, CKY, Gnar Kill, Daniel Lioneye. Iggy and the Stooges Pop, and New Order. <br /><br />Unless you do not lie Viva La Bam or CKY (the movies) I doubt you will like this. If you DO like that stuff...this mоvie is grea𝚝.",1,
971,1.0,212.0,1.0,0.0138737559318542,"Movie about two Australian girls--Debbie (Nell Schofield) and Sue (Sue Knight)--and what happens when they become girlfriends of two surfer guys.<br /><br />I caught this at an art cinema here in America in 1981. Technically I was still a teenager (I was 19) so I was interested in seeing how Australian teens acted. Script wise there's nothing new here. It shows the usual teenage adventures dealing with dating, sex, suicide etc etc. I always knew what was going to happen before it did but I was [[never]] bored. What I found interesting was, despite the accent and a few changes in clothes and hair, these teenagers aren't much different than American teens. They had many of the same difficulties and hang-ups. Also this was based on a book from a real surfer girl and her true life adventures and (I heard) it was a faithful adaptation of it. The acting was just OK but the actors were attractive and this was well-made and pretty interesting. So this is no unsung masterpiece but a pretty accurate portrayal of what it's like being a teenager and trying to be with the popular kids. I give it a 7.",0.0,0.5973721146583557,"Movie about two Australian girls--Debbie (Nell Schofield) and Sue (Sue Knight)--and what happens when they become girlfriends of two surfer guys.<br /><br />I caught this at an art cinema here in America in 1981. Technically I was still a teenager (I was 19) so I was interested in seeing how Australian teens acted. Script wise there's nothing new here. It shows the usual teenage adventures dealing with dating, sex, suicide etc etc. I always knew what was going to happen before it did but I was jamais bored. What I found interesting was, despite the accent and a few changes in clothes and hair, these teenagers aren't much different than American teens. They had many of the same difficulties and hang-ups. Also this was based on a book from a real surfer girl and her true life adventures and (I heard) it was a faithful adaptation of it. The acting was just OK but the actors were attractive and this was well-made and pretty interesting. So this is no unsung masterpiece but a pretty accurate portrayal of what it's like being a teenager and trying to be with the popular kids. I give it a 7.",1,
27,1.0,157.0,1.0,0.0219894051551818,"While I can't say whether or not Larry Hama ever saw any of the old cartoons, I would think that writing said cartoons, file cards, and some of the comics would count for something.<br /><br />For fans of the old cartoon, this is pretty much a continuation of the same, except with a few new characters - and a more insane Cobra Commander.<br /><br />We still have all the old favorites too, but on a personal note, one thing that always irritated me was this ""Duke in charge"" stuff, when there are tons of other *officers* around instead.<br /><br />The battle sequences are similar to the old series as well; the main trick here seems to be the CGI. It's [[overall]] pretty [[good]], if not a little over-the-top.",0.0,0.5377283096313477,"While I can't say whether or not Larry Hama ever saw any of the old cartoons, I would think that writing said cartoons, file cards, and some of the comics would count for something.<br /><br />For fans of the old cartoon, this is pretty much a continuation of the same, except with a few new characters - and a more insane Cobra Commander.<br /><br />We still have all the old favorites too, but on a personal note, one thing that always irritated me was this ""Duke in charge"" stuff, when there are tons of other *officers* around instead.<br /><br />The battle sequences are similar to the old series as well; the main trick here seems to be the CGI. It's total pretty gooԁ, if not a little over-the-top.",1,
231,1.0,274.0,1.0,0.0022120475769042,"Fritz Lang directed two great westerns: ""Western Union"" and ""The Return of Frank James"". The Frank James movie equals ""Jesse James"". ""Western Union"" is one of Randolph Scott's great westerns. I have never seen Robert Young in a western before; he is [[terrific]] as the telegraph employee. This is the only movie I can think of that is about the telegraph company opening up in the west. It is a high-geared story about the telegraph in the west, a triangle love story, and about loyalty. <br /><br />[[The]] supporting cast is [[superb]]. Dean Jagger, who made a few westerns, plays the telegraph manager. Virginia Gilmore, who plays Mr. Jagger's sister, is the [[love]] interest in the movie. Ms. Gilmore had a short career in movies. She quit films in 1952 and became a drama coach. She is primarily known as the first Mrs. Yul Brynner. It is [[great]] to see Slim Summerville in a movie with Mr. Scott again. They were in [[two]] other [[great]] movies: ""Rebecca of Sunnybrook Farm"" and ""Jesse James"".",0.0,0.5439784526824951,"Fritz Lang directed two great westerns: ""Western Union"" and ""The Return of Frank James"". The Frank James movie equals ""Jesse James"". ""Western Union"" is one of Randolph Scott's great westerns. I have never seen Robert Young in a western before; he is terri𝚏ic as the telegraph employee. This is the only movie I can think of that is about the telegraph company opening up in the west. It is a high-geared story about the telegraph in the west, a triangle love story, and about loyalty. <br /><br />To supporting cast is supеrb. Dean Jagger, who made a few westerns, plays the telegraph manager. Virginia Gilmore, who plays Mr. Jagger's sister, is the lo ve interest in the movie. Ms. Gilmore had a short career in movies. She quit films in 1952 and became a drama coach. She is primarily known as the first Mrs. Yul Brynner. It is gerat to see Slim Summerville in a movie with Mr. Scott again. They were in to other gre at movies: ""Rebecca of Sunnybrook Farm"" and ""Jesse James"".",1,
306,1.0,106.0,1.0,0.0009783506393432,"I [[loved]] this. It starts out as a fairly normal, slightly ponderous French art movie and then all of a sudden, halfway through it's turned on it's head. This part is [[brilliant]] as you realise you have been watching 2 plots not one. Sadly, the [[ending]] doesn't make much sense, which is a great shame. Oh yes, and it's brilliantly filmed.",0.0,0.7167668342590332,"I lo ved this. It starts out as a fairly normal, slightly ponderous French art movie and then all of a sudden, halfway through it's turned on it's head. This part is briⅼliant as you realise you have been watching 2 plots not one. Sadly, the terminate doesn't make much sense, which is a great shame. Oh yes, and it's brilliantly filmed.",1,
706,1.0,660.0,1.0,0.0023137331008911,"Isabelle Huppert [[must]] be one of the greatest [[actresses]] of her or any other generation. ""La [[Pianiste]]"" [[truly]] [[confirms]] it. As if that wasn't enough, Annie Girardot plays her mother and [[Annie]] Girardot is one of the greatest actresses of her or any other generation. So, as you may well imagine, those pieces of casting are worth the horror [[we're]] [[put]] through. [[Isabelle]] and Annie [[play]] characters we've never seen before on the screen. A mother and daughter yes but with such [[virulent]] fearlessness that [[sometimes]] I was unable even to blink or to [[breath]]. [[Personally]], I don't believe in the director's [[intentions]], [[I]] don't believe they (the [[intentions]] that is) go beyond the shocking [[anecdote]] and the ending made me [[scream]] with frustration but [[I]] was [[riveted]] by the [[story]] written in the face of the sensational Huppert and the [[fierceness]] of [[Girardot's]] [[strength]]. I [[highly]] recommend it to [[cinema]] lovers [[anywhere]] and to the collectors of great performances like me, you can't afford to miss ""La [[Pianiste]]""",0.0,0.5442972183227539,"Isabelle Huppert should be one of the greatest ac𝚝resses of her or any other generation. ""La Pianis𝚝e"" truy confimrs it. As if that wasn't enough, Annie Girardot plays her mother and Anniе Girardot is one of the greatest actresses of her or any other generation. So, as you may well imagine, those pieces of casting are worth the horror w're p ut through. Isobel and Annie paly characters we've never seen before on the screen. A mother and daughter yes but with such ѵirulent fearlessness that soｍetimes I was unable even to blink or to respiration. Personaly, I don't believe in the director's intention, yo don't believe they (the intentionѕ that is) go beyond the shocking joke and the ending made me scre am with frustration but ich was riѵeted by the stоry written in the face of the sensational Huppert and the fiеrceness of Girɑrdot's stre ngth. I highⅼy recommend it to cinematographic lovers somewhere and to the collectors of great performances like me, you can't afford to miss ""La Pianistе""",1,
496,1.0,428.0,1.0,0.0018540620803833,"[[Spoilers]]: This [[movie]] has it's problems, but in the end it [[gets]] the message across. [[I]] [[liked]] it because it ends the way [[things]] [[really]] do. The nice guy tries and tries, gets his heart broken several times, but in the end there is no [[typical]] hollywood ending. It ends the way such things always end, or at least always have in my own and friends' experiences. Anyone who thinks that the ending to this isn't how it really happens, as the [[first]] comment seemed to, believing that the girl would come around, realize she's dating an [[asshole]] who treats her bad because he doesn't care about her at all is either naive or lives in a more perfect world than I. I [[give]] it [[7]]/[[10]], extra points simply because it wasn't [[afraid]] to [[end]] on a down note, give no real resolution, just the main [[character]] left heartbroken, [[confused]] and [[alone]] as so many men of [[countless]] [[generations]] have been before.",0.0,0.52423095703125,"Baffles: This cinema has it's problems, but in the end it get the message across. ich wished it because it ends the way facets rеally do. The nice guy tries and tries, gets his heart broken several times, but in the end there is no classic hollywood ending. It ends the way such things always end, or at least always have in my own and friends' experiences. Anyone who thinks that the ending to this isn't how it really happens, as the outset comment seemed to, believing that the girl would come around, realize she's dating an asshoⅼe who treats her bad because he doesn't care about her at all is either naive or lives in a more perfect world than I. I provide it 𝟕/1O, extra points simply because it wasn't frightened to terminates on a down note, give no real resolution, just the main chaacter left heartbroken, conf used and merely as so many men of c ountless geenrations have been before.",1,
558,1.0,374.0,1.0,0.158021330833435,"Progeny is about a husband and wife who experience time loss while making love. Completely unaware of what this bizarre experience means they try to go on with their lives. The hubby begins questioning the bizarre event and gets help through a very annoying psychiatrist. He comes to believe that aliens are responsible for this lapse in time and that the unborn baby he once thought was his and his wife's actually belongs to the aliens.<br /><br />If ya ask me, this is a [[great]] scifi/horror story. Taking a highly questionable real-life scenario involving alien abduction and hybrid breeding is definite thumbs up from this guy. I love all things related to aliens and this story definitely delivered some good ideas. So if you also share an interest in things extraterrestrial, you should be pretty happy with Progeny. At least story-wise anyways.<br /><br />Unfortunately the movie overall is pretty average. With average acting by all actors. Yep, even by the consistently awesome Mr. Dourif, who still does deliver the best performance. Though the black head doctor, delivers his lines really well. There are a few points in the flick where some of the delivery is cringe or laugh worthy, which is fine in my book. I like them cheesy and this had a little bit of some nice stinky cheese, and I mean that in a good way.<br /><br />Anyways, with a less than stellar script you can't really blame all the actors. I especially didn't care for the Mother Hysteria the film went for. She wanted a baby so badly that she'd neglect and dismiss everything her loving husband (who's a doctor!!) said to her. It almost reached a point where you actually didn't care what happened to her.<br /><br />The Progeny is another flick by Brian Yuzna from the icky-sticky film, Society. Again he delivers some slimy effects, and again he delivers a pretty unique tale of horror. If you're into scifi/horror or are a fan of Dourif and or Yuzna films, there's no real reason not to check out this flick if you get the chance. A generous 7 outta 10.",0.0,0.526328444480896,"Progeny is about a husband and wife who experience time loss while making love. Completely unaware of what this bizarre experience means they try to go on with their lives. The hubby begins questioning the bizarre event and gets help through a very annoying psychiatrist. He comes to believe that aliens are responsible for this lapse in time and that the unborn baby he once thought was his and his wife's actually belongs to the aliens.<br /><br />If ya ask me, this is a grea𝚝 scifi/horror story. Taking a highly questionable real-life scenario involving alien abduction and hybrid breeding is definite thumbs up from this guy. I love all things related to aliens and this story definitely delivered some good ideas. So if you also share an interest in things extraterrestrial, you should be pretty happy with Progeny. At least story-wise anyways.<br /><br />Unfortunately the movie overall is pretty average. With average acting by all actors. Yep, even by the consistently awesome Mr. Dourif, who still does deliver the best performance. Though the black head doctor, delivers his lines really well. There are a few points in the flick where some of the delivery is cringe or laugh worthy, which is fine in my book. I like them cheesy and this had a little bit of some nice stinky cheese, and I mean that in a good way.<br /><br />Anyways, with a less than stellar script you can't really blame all the actors. I especially didn't care for the Mother Hysteria the film went for. She wanted a baby so badly that she'd neglect and dismiss everything her loving husband (who's a doctor!!) said to her. It almost reached a point where you actually didn't care what happened to her.<br /><br />The Progeny is another flick by Brian Yuzna from the icky-sticky film, Society. Again he delivers some slimy effects, and again he delivers a pretty unique tale of horror. If you're into scifi/horror or are a fan of Dourif and or Yuzna films, there's no real reason not to check out this flick if you get the chance. A generous 7 outta 10.",1,
